,hub,bins,imsize,bic,aic,covariances,means,n_components,nb_partitions,nk_debug,weights
0,gas,2,10,-6945.654238291735,-7105.424961006216,"[[[1.01535800e-03]]

 [[4.31440828e-03]]

 [[2.67625546e-04]]

 [[9.61085559e-04]]

 [[4.98733660e-02]]

 [[4.25853787e-04]]

 [[2.03921160e-03]]

 [[6.23973752e-03]]

 [[3.23134684e-05]]

 [[2.83039897e-04]]]","[[0.48954593]
 [0.47496617]
 [0.49724336]
 [0.49004716]
 [0.48055826]
 [0.49743136]
 [0.49589806]
 [0.495693  ]
 [0.49446342]
 [0.49737623]]",10.0,10.0,"[0.09972602739726028, 0.10027397260273972, 0.09972602739726028, 0.10027397260273972, 0.09972602739726028, 0.10027397260273972, 0.09972602739726028, 0.10027397260273972, 0.09972602739726028, 0.10027397260273972]","[0.04321505 0.04321976 0.08855149 0.04419577 0.02636341 0.07165771
 0.30644893 0.04745268 0.24192016 0.08697504]"
1,gas,2,15,-6833.141635770604,-7075.552387475334,"[[[4.96305615e-04]]

 [[5.54224253e-02]]

 [[7.44346247e-04]]

 [[7.86158193e-04]]

 [[1.93719373e-03]]

 [[5.32034095e-04]]

 [[3.85723081e-03]]

 [[2.43236762e-02]]

 [[1.43900223e-04]]

 [[2.65974661e-03]]

 [[5.56926540e-02]]

 [[8.62089050e-04]]

 [[3.07624046e-05]]

 [[6.33305619e-03]]

 [[2.99213382e-04]]]","[[0.49787179]
 [0.47368653]
 [0.49417691]
 [0.49353181]
 [0.4821065 ]
 [0.49745491]
 [0.46779576]
 [0.56318762]
 [0.49587808]
 [0.49664809]
 [0.41095101]
 [0.49240099]
 [0.49444324]
 [0.48093282]
 [0.49796284]]",15.0,15.0,"[0.0663013698630137, 0.06684931506849315, 0.06684931506849315, 0.0663013698630137, 0.06684931506849315, 0.06684931506849315, 0.0663013698630137, 0.06684931506849315, 0.06684931506849315, 0.0663013698630137, 0.06684931506849315, 0.06684931506849315, 0.0663013698630137, 0.06684931506849315, 0.06684931506849315]","[0.0558226  0.00926932 0.04350589 0.0414317  0.03046769 0.05424431
 0.0279892  0.01047036 0.08774626 0.2764064  0.0084402  0.03979537
 0.22105993 0.02205456 0.07129619]"
2,gas,2,20,-6711.956204894435,-7037.006985589414,"[[[3.80600307e-04]]

 [[4.28765445e-02]]

 [[5.52907726e-02]]

 [[5.77638578e-04]]

 [[1.63356575e-03]]

 [[4.94430288e-04]]

 [[8.17137568e-03]]

 [[4.84753819e-04]]

 [[1.90292767e-03]]

 [[7.04163009e-03]]

 [[5.55407877e-02]]

 [[4.50010286e-05]]

 [[2.97659413e-03]]

 [[5.53026753e-02]]

 [[5.13258492e-02]]

 [[6.52116209e-04]]

 [[4.30034430e-05]]

 [[2.86798092e-02]]

 [[2.24462737e-03]]

 [[4.45594641e-04]]]","[[0.49755622]
 [0.53540452]
 [0.46151632]
 [0.49664375]
 [0.48631565]
 [0.49723789]
 [0.49099453]
 [0.49728866]
 [0.48367708]
 [0.47866242]
 [0.45382729]
 [0.49458887]
 [0.4950535 ]
 [0.4264651 ]
 [0.37356158]
 [0.49595679]
 [0.49464031]
 [0.5614583 ]
 [0.48023944]
 [0.49747286]]",20.0,20.0,"[0.04986301369863014, 0.04986301369863014, 0.04986301369863014, 0.05041095890410959, 0.04986301369863014, 0.04986301369863014, 0.04986301369863014, 0.05041095890410959, 0.04986301369863014, 0.04986301369863014, 0.04986301369863014, 0.05041095890410959, 0.04986301369863014, 0.04986301369863014, 0.04986301369863014, 0.05041095890410959, 0.04986301369863014, 0.04986301369863014, 0.04986301369863014, 0.05041095890410959]","[0.05625238 0.00522346 0.00443207 0.04967546 0.02872933 0.05225785
 0.0085969  0.05325089 0.02725315 0.0096474  0.00428284 0.11016542
 0.2741163  0.00366959 0.00294518 0.04699026 0.17653154 0.00553888
 0.02625734 0.05418374]"
3,gas,2,25,-6619.0454730222855,-7026.736282707513,"[[[2.03164893e-04]]

 [[8.01558858e-03]]

 [[5.61170317e-02]]

 [[4.88458512e-02]]

 [[3.95331612e-04]]

 [[1.84284636e-03]]

 [[7.85085810e-04]]

 [[1.52608800e-03]]

 [[7.43260161e-03]]

 [[2.53160709e-04]]

 [[1.40057207e-03]]

 [[5.35131069e-03]]

 [[2.96701390e-02]]

 [[8.32819209e-03]]

 [[1.85676282e-05]]

 [[2.86783816e-03]]

 [[5.56766741e-02]]

 [[5.56112437e-02]]

 [[1.30267427e-02]]

 [[6.01509368e-04]]

 [[1.57479242e-04]]

 [[5.60480051e-02]]

 [[3.84571613e-03]]

 [[9.82640185e-04]]

 [[6.69455703e-04]]]","[[0.49613892]
 [0.50043994]
 [0.44309284]
 [0.53083337]
 [0.49789729]
 [0.48422404]
 [0.49565011]
 [0.48748354]
 [0.49492524]
 [0.49669565]
 [0.48887181]
 [0.47104944]
 [0.58668113]
 [0.50318132]
 [0.49426261]
 [0.49556865]
 [0.42958956]
 [0.42816335]
 [0.53379555]
 [0.49754513]
 [0.49606931]
 [0.44006472]
 [0.45557265]
 [0.49328736]
 [0.49693877]]",25.0,25.0,"[0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04]","[0.05223924 0.00492711 0.00382336 0.00375274 0.0484651  0.02284662
 0.03774838 0.02569084 0.00519992 0.05124548 0.02618923 0.00715585
 0.00383328 0.00479983 0.1704211  0.26289087 0.00400253 0.00404375
 0.00409299 0.04328084 0.12164285 0.00383885 0.01369723 0.03294399
 0.04122802]"
4,gas,2,30,-6497.621453770781,-6987.952292446258,"[[[6.14337687e-04]]

 [[1.26648727e-03]]

 [[5.42996449e-02]]

 [[5.50443250e-02]]

 [[5.42116868e-03]]

 [[3.27866344e-04]]

 [[1.70957367e-03]]

 [[8.93726619e-04]]

 [[5.87139574e-04]]

 [[2.23023233e-02]]

 [[3.92297079e-03]]

 [[1.73020263e-04]]

 [[1.80130932e-03]]

 [[3.11362748e-03]]

 [[5.79475737e-03]]

 [[5.18359594e-02]]

 [[4.74136630e-03]]

 [[2.48457276e-05]]

 [[2.91352523e-03]]

 [[5.40864468e-02]]

 [[5.50033620e-02]]

 [[4.67166165e-02]]

 [[4.87079183e-03]]

 [[4.44627251e-04]]

 [[2.32806626e-04]]

 [[4.45955961e-05]]

 [[1.89802075e-02]]

 [[2.38897453e-03]]

 [[5.94087378e-04]]

 [[7.51325484e-04]]]","[[0.49688815]
 [0.48878993]
 [0.4857521 ]
 [0.47102706]
 [0.47655066]
 [0.49770055]
 [0.48385643]
 [0.49333811]
 [0.49713151]
 [0.58098558]
 [0.46597807]
 [0.49607947]
 [0.48284932]
 [0.46918201]
 [0.47985617]
 [0.39341312]
 [0.47068916]
 [0.49436183]
 [0.49809803]
 [0.48868362]
 [0.47224593]
 [0.34758167]
 [0.47169845]
 [0.49802772]
 [0.49681539]
 [0.49462538]
 [0.57218574]
 [0.47645302]
 [0.49706977]
 [0.49527478]]",30.0,30.0,"[0.03287671232876712, 0.033424657534246574, 0.033424657534246574, 0.033424657534246574, 0.033424657534246574, 0.033424657534246574, 0.03287671232876712, 0.033424657534246574, 0.033424657534246574, 0.033424657534246574, 0.033424657534246574, 0.033424657534246574, 0.03287671232876712, 0.033424657534246574, 0.033424657534246574, 0.033424657534246574, 0.033424657534246574, 0.033424657534246574, 0.03287671232876712, 0.033424657534246574, 0.033424657534246574, 0.033424657534246574, 0.033424657534246574, 0.033424657534246574, 0.03287671232876712, 0.033424657534246574, 0.033424657534246574, 0.033424657534246574, 0.033424657534246574, 0.033424657534246574]","[0.03764566 0.0239917  0.00362433 0.00354903 0.00619227 0.04642701
 0.01821288 0.03171708 0.03960027 0.00398997 0.00877785 0.05105061
 0.01750501 0.01233564 0.00595693 0.00271308 0.00700331 0.13154095
 0.24309021 0.00362748 0.00355623 0.00252167 0.00684795 0.04303105
 0.0478178  0.10500677 0.00407073 0.01507554 0.03929506 0.03422592]"
5,gas,2,35,-6391.396863505756,-6964.367731171482,"[[[1.05526174e-03]]

 [[5.00822409e-04]]

 [[5.27040573e-02]]

 [[5.43661127e-02]]

 [[5.41082709e-02]]

 [[2.75471753e-03]]

 [[3.45244283e-04]]

 [[1.68452563e-03]]

 [[1.49443425e-03]]

 [[4.06764414e-05]]

 [[2.45276058e-02]]

 [[5.14431572e-03]]

 [[1.16717088e-03]]

 [[6.15840014e-04]]

 [[1.96706877e-03]]

 [[1.84037060e-03]]

 [[7.92044048e-03]]

 [[3.87844663e-02]]

 [[5.44736537e-02]]

 [[3.38764121e-03]]

 [[2.03899084e-05]]

 [[3.06140897e-03]]

 [[1.87347043e-02]]

 [[4.01199985e-02]]

 [[5.41590713e-02]]

 [[4.11278068e-02]]

 [[3.86769549e-03]]

 [[3.39649451e-04]]

 [[3.84804992e-04]]

 [[1.86457077e-04]]

 [[1.04868086e-02]]

 [[5.05983214e-02]]

 [[1.76435755e-03]]

 [[3.01416980e-04]]

 [[8.10543713e-04]]]","[[0.49323521]
 [0.4976884 ]
 [0.49124394]
 [0.46301662]
 [0.47099394]
 [0.47595109]
 [0.49723997]
 [0.48731   ]
 [0.48918628]
 [0.4945072 ]
 [0.57152169]
 [0.46113809]
 [0.4923276 ]
 [0.49716016]
 [0.48441805]
 [0.48558314]
 [0.48928219]
 [0.55879128]
 [0.45612508]
 [0.46826744]
 [0.49430469]
 [0.49808835]
 [0.55701472]
 [0.29644549]
 [0.46977587]
 [0.30389605]
 [0.46066167]
 [0.49722165]
 [0.49747494]
 [0.49636988]
 [0.51054379]
 [0.50852167]
 [0.48637734]
 [0.49693037]
 [0.4956474 ]]",35.0,35.0,"[0.028493150684931506, 0.028493150684931506, 0.028493150684931506, 0.028493150684931506, 0.028493150684931506, 0.028493150684931506, 0.02904109589041096, 0.028493150684931506, 0.028493150684931506, 0.028493150684931506, 0.028493150684931506, 0.028493150684931506, 0.028493150684931506, 0.02904109589041096, 0.028493150684931506, 0.028493150684931506, 0.028493150684931506, 0.028493150684931506, 0.028493150684931506, 0.028493150684931506, 0.02904109589041096, 0.028493150684931506, 0.028493150684931506, 0.028493150684931506, 0.028493150684931506, 0.028493150684931506, 0.028493150684931506, 0.02904109589041096, 0.028493150684931506, 0.028493150684931506, 0.028493150684931506, 0.028493150684931506, 0.028493150684931506, 0.028493150684931506, 0.02904109589041096]","[0.02530829 0.03702753 0.00264115 0.00239892 0.00246243 0.01303271
 0.04061094 0.01688537 0.01879709 0.06945998 0.00283608 0.00530778
 0.02242545 0.03687675 0.01507522 0.01646224 0.00361757 0.00275047
 0.00230336 0.01172711 0.14234217 0.22956969 0.00289017 0.0016319
 0.00242359 0.00162956 0.01028515 0.04034652 0.03900773 0.0882643
 0.00317152 0.00268211 0.01690767 0.04032957 0.0305119 ]"
6,gas,2,40,-6278.469481216421,-6934.080377872395,"[[[1.16858199e-03]]

 [[5.58628389e-05]]

 [[3.23616350e-02]]

 [[3.24366711e-02]]

 [[3.52260234e-02]]

 [[3.56187624e-02]]

 [[2.37139070e-03]]

 [[5.11454712e-05]]

 [[1.76003134e-03]]

 [[1.31054173e-03]]

 [[7.69206207e-04]]

 [[4.35778756e-04]]

 [[1.16631043e-02]]

 [[9.74091548e-03]]

 [[3.96757505e-04]]

 [[9.62888393e-04]]

 [[2.50142225e-03]]

 [[1.19881601e-03]]

 [[2.00125310e-02]]

 [[4.09244658e-03]]

 [[3.56073282e-02]]

 [[3.45021194e-02]]

 [[2.87334203e-03]]

 [[2.38299312e-05]]

 [[3.20193721e-03]]

 [[9.34825692e-03]]

 [[6.01354326e-04]]

 [[2.64553587e-02]]

 [[3.56398743e-02]]

 [[1.01749385e-02]]

 [[8.26822827e-04]]

 [[8.31225876e-04]]

 [[7.48387187e-05]]

 [[2.79648598e-04]]

 [[3.55433520e-02]]

 [[1.23406005e-02]]

 [[2.54295929e-03]]

 [[1.27059640e-03]]

 [[5.90947947e-04]]

 [[5.13504759e-04]]]","[[0.49244143]
 [0.49464032]
 [0.53608918]
 [0.53706623]
 [0.57275019]
 [0.585916  ]
 [0.47967652]
 [0.49459536]
 [0.48718255]
 [0.4913631 ]
 [0.4956138 ]
 [0.49783389]
 [0.45592395]
 [0.45989044]
 [0.49783623]
 [0.49386066]
 [0.47792963]
 [0.49216569]
 [0.44915693]
 [0.45910085]
 [0.58024795]
 [0.55997693]
 [0.47186981]
 [0.49436321]
 [0.49779902]
 [0.46045487]
 [0.03774316]
 [0.49045473]
 [0.58439359]
 [0.31587407]
 [0.49499696]
 [0.49510773]
 [0.49481316]
 [0.49810652]
 [0.58226384]
 [0.4539895 ]
 [0.47722097]
 [0.49164038]
 [0.4971664 ]
 [0.49771681]]",40.0,40.0,"[0.024657534246575342, 0.025205479452054796, 0.024657534246575342, 0.025205479452054796, 0.025205479452054796, 0.024657534246575342, 0.025205479452054796, 0.025205479452054796, 0.024657534246575342, 0.025205479452054796, 0.024657534246575342, 0.025205479452054796, 0.025205479452054796, 0.024657534246575342, 0.025205479452054796, 0.025205479452054796, 0.024657534246575342, 0.025205479452054796, 0.024657534246575342, 0.025205479452054796, 0.025205479452054796, 0.024657534246575342, 0.025205479452054796, 0.025205479452054796, 0.024657534246575342, 0.025205479452054796, 0.024657534246575342, 0.025205479452054796, 0.025205479452054796, 0.024657534246575342, 0.025205479452054796, 0.025205479452054796, 0.024657534246575342, 0.025205479452054796, 0.024657534246575342, 0.025205479452054796, 0.025205479452054796, 0.024657534246575342, 0.025205479452054796, 0.025205479452054796]","[0.02003873 0.0504157  0.00233032 0.00234477 0.00219874 0.0019514
 0.01313498 0.05253739 0.01568142 0.01919812 0.02512965 0.03321476
 0.00340343 0.00350286 0.03289709 0.02387617 0.01210689 0.02058428
 0.00286515 0.00568111 0.00170607 0.00222153 0.01127298 0.12734712
 0.2191223  0.00364647 0.00208379 0.00253944 0.00186353 0.00078077
 0.02589936 0.02408496 0.0442471  0.0927335  0.00204814 0.00340698
 0.01248469 0.01935204 0.02967962 0.03038665]"
7,gas,2,45,-6159.1980648806575,-6897.448990526881,"[[[1.23809896e-03]]

 [[1.73978565e-05]]

 [[4.79994696e-03]]

 [[1.76344483e-02]]

 [[5.23359712e-02]]

 [[5.36454671e-02]]

 [[5.24572577e-02]]

 [[1.92867013e-03]]

 [[3.41566610e-05]]

 [[1.28300338e-03]]

 [[1.56822961e-03]]

 [[8.05087279e-04]]

 [[1.32849446e-04]]

 [[1.12341474e-02]]

 [[5.34958593e-03]]

 [[3.71928035e-03]]

 [[6.69259781e-05]]

 [[1.98413062e-03]]

 [[1.94870480e-03]]

 [[9.22543318e-04]]

 [[4.42986706e-02]]

 [[3.98689986e-03]]

 [[5.38437764e-02]]

 [[4.73498759e-02]]

 [[3.85439835e-03]]

 [[3.67366443e-03]]

 [[7.31888409e-05]]

 [[3.21147184e-03]]

 [[3.02026110e-02]]

 [[5.47289700e-02]]

 [[5.43783962e-02]]

 [[4.54832216e-02]]

 [[5.45719639e-02]]

 [[3.84381802e-02]]

 [[5.76568944e-04]]

 [[1.03091716e-03]]

 [[6.04087136e-05]]

 [[5.00523892e-04]]

 [[5.46815204e-02]]

 [[9.39995670e-03]]

 [[9.81080434e-03]]

 [[1.36427735e-03]]

 [[1.35323690e-03]]

 [[5.50032950e-04]]

 [[5.08441621e-04]]]","[[0.49069362]
 [0.49427455]
 [0.46685754]
 [0.56419173]
 [0.39568763]
 [0.47973184]
 [0.49313692]
 [0.48417528]
 [0.4944534 ]
 [0.4902978 ]
 [0.48779345]
 [0.49415578]
 [0.49553248]
 [0.52324271]
 [0.47271057]
 [0.46078473]
 [0.49479333]
 [0.48345543]
 [0.48400349]
 [0.49305194]
 [0.5427466 ]
 [0.45934687]
 [0.47682822]
 [0.34767976]
 [0.45953878]
 [0.46140206]
 [0.49499417]
 [0.49830808]
 [0.58921128]
 [0.45017406]
 [0.46659832]
 [0.332642  ]
 [0.43564877]
 [0.56615095]
 [0.49696642]
 [0.49230642]
 [0.49472567]
 [0.50011933]
 [0.44130081]
 [0.50963511]
 [0.51279901]
 [0.48960403]
 [0.48971949]
 [0.49730514]
 [0.49778056]]",45.0,45.0,"[0.021917808219178082, 0.022465753424657533, 0.021917808219178082, 0.022465753424657533, 0.021917808219178082, 0.022465753424657533, 0.021917808219178082, 0.022465753424657533, 0.022465753424657533, 0.021917808219178082, 0.022465753424657533, 0.021917808219178082, 0.022465753424657533, 0.021917808219178082, 0.022465753424657533, 0.021917808219178082, 0.022465753424657533, 0.022465753424657533, 0.021917808219178082, 0.022465753424657533, 0.021917808219178082, 0.022465753424657533, 0.021917808219178082, 0.022465753424657533, 0.021917808219178082, 0.022465753424657533, 0.022465753424657533, 0.021917808219178082, 0.022465753424657533, 0.021917808219178082, 0.022465753424657533, 0.021917808219178082, 0.022465753424657533, 0.021917808219178082, 0.022465753424657533, 0.022465753424657533, 0.021917808219178082, 0.022465753424657533, 0.021917808219178082, 0.022465753424657533, 0.021917808219178082, 0.022465753424657533, 0.021917808219178082, 0.022465753424657533, 0.022465753424657533]","[0.01784187 0.076865   0.0036251  0.00208955 0.00141349 0.00201628
 0.00197764 0.01346743 0.05217742 0.01756671 0.01529265 0.02552398
 0.03714916 0.00207877 0.00325173 0.00682343 0.0413298  0.0138044
 0.01291617 0.02349612 0.00197292 0.00550394 0.00196327 0.00134619
 0.00601924 0.00728159 0.07580582 0.21277025 0.00206524 0.00179604
 0.00197376 0.00129205 0.00172169 0.00198919 0.0330187  0.02065753
 0.04145786 0.10396031 0.00171518 0.002223   0.00214424 0.01722524
 0.01678934 0.03325413 0.0333466 ]"
8,gas,2,50,-6051.171031457337,-6872.0619860938095,"[[[1.14306833e-03]]

 [[3.03313236e-05]]

 [[4.15658740e-03]]

 [[3.64004333e-02]]

 [[2.68401208e-02]]

 [[3.66783207e-02]]

 [[3.66668485e-02]]

 [[7.81229438e-03]]

 [[1.89058313e-03]]

 [[3.01863685e-05]]

 [[1.38280771e-03]]

 [[1.93650475e-03]]

 [[4.59196603e-04]]

 [[1.58229446e-03]]

 [[6.16410182e-04]]

 [[5.01801547e-03]]

 [[3.41902421e-02]]

 [[4.44020225e-03]]

 [[3.50603886e-05]]

 [[1.77762527e-03]]

 [[1.95247884e-03]]

 [[1.05296081e-03]]

 [[3.82285218e-03]]

 [[1.88392737e-02]]

 [[4.00405477e-03]]

 [[3.45879679e-02]]

 [[3.50441302e-02]]

 [[3.45500633e-03]]

 [[3.28735516e-03]]

 [[1.91429064e-04]]

 [[3.14231407e-03]]

 [[3.49575290e-02]]

 [[1.60711416e-02]]

 [[1.44555718e-02]]

 [[3.35136820e-02]]

 [[3.64615336e-02]]

 [[5.99791326e-04]]

 [[3.30244173e-03]]

 [[5.31675460e-04]]

 [[1.03902233e-03]]

 [[4.56738031e-05]]

 [[5.58833959e-04]]

 [[3.67217567e-02]]

 [[3.19017419e-02]]

 [[2.40181508e-02]]

 [[1.77473845e-03]]

 [[3.91138829e-03]]

 [[3.74209686e-04]]

 [[1.65855345e-03]]

 [[3.44321072e-04]]]","[[0.49144958]
 [0.49443066]
 [0.46466915]
 [0.56817604]
 [0.48803039]
 [0.57276144]
 [0.57246041]
 [0.4668891 ]
 [0.48501149]
 [0.49442782]
 [0.48973253]
 [0.48455822]
 [0.49685693]
 [0.48815193]
 [0.49572072]
 [0.46613145]
 [0.54234686]
 [0.46492141]
 [0.4944869 ]
 [0.48601767]
 [0.48439356]
 [0.4920155 ]
 [0.4648524 ]
 [0.44439907]
 [0.46463909]
 [0.54118632]
 [0.54626461]
 [0.46687934]
 [0.46831152]
 [0.49652856]
 [0.50079293]
 [0.55003451]
 [0.44646035]
 [0.36662837]
 [0.53634979]
 [0.56710506]
 [0.03772602]
 [0.46824881]
 [0.49642154]
 [0.49221827]
 [0.49458599]
 [0.49922204]
 [0.57371618]
 [0.52324537]
 [0.46962428]
 [0.48621181]
 [0.46445272]
 [0.49704502]
 [0.48725439]
 [0.4969848 ]]",50.0,50.0,"[0.019726027397260273, 0.020273972602739727, 0.019726027397260273, 0.020273972602739727, 0.019726027397260273, 0.020273972602739727, 0.019726027397260273, 0.020273972602739727, 0.019726027397260273, 0.020273972602739727, 0.019726027397260273, 0.020273972602739727, 0.019726027397260273, 0.020273972602739727, 0.019726027397260273, 0.020273972602739727, 0.019726027397260273, 0.020273972602739727, 0.019726027397260273, 0.020273972602739727, 0.019726027397260273, 0.020273972602739727, 0.019726027397260273, 0.020273972602739727, 0.019726027397260273, 0.020273972602739727, 0.019726027397260273, 0.020273972602739727, 0.019726027397260273, 0.020273972602739727, 0.019726027397260273, 0.020273972602739727, 0.019726027397260273, 0.020273972602739727, 0.019726027397260273, 0.020273972602739727, 0.019726027397260273, 0.020273972602739727, 0.019726027397260273, 0.020273972602739727, 0.019726027397260273, 0.020273972602739727, 0.019726027397260273, 0.020273972602739727, 0.019726027397260273, 0.020273972602739727, 0.019726027397260273, 0.020273972602739727, 0.019726027397260273, 0.020273972602739727]","[0.017726   0.0668774  0.00429336 0.00180539 0.00200169 0.00168294
 0.00163969 0.00282483 0.01190193 0.06676591 0.01552125 0.01183263
 0.02842234 0.01397795 0.02646319 0.00354601 0.00187387 0.00407047
 0.06041129 0.01355305 0.01139706 0.01968934 0.00494198 0.00236803
 0.00455259 0.00111098 0.00115196 0.00606627 0.00653808 0.07598785
 0.19889434 0.0018921  0.00241213 0.00077679 0.00188446 0.00149705
 0.00205097 0.00659856 0.02772361 0.01907396 0.05093586 0.09798207
 0.00160437 0.00198044 0.0020681  0.01299007 0.00484213 0.02972165
 0.01380359 0.03027244]"
9,gas,2,55,-5940.18658589597,-6843.717569522691,"[[[1.01462237e-03]]

 [[3.15820025e-05]]

 [[3.68380481e-03]]

 [[3.18522603e-02]]

 [[1.12637063e-02]]

 [[3.18193269e-02]]

 [[2.15881604e-02]]

 [[3.16455631e-04]]

 [[3.76327394e-03]]

 [[2.08604374e-03]]

 [[3.18263140e-05]]

 [[1.18100343e-03]]

 [[2.74817354e-03]]

 [[1.89291137e-03]]

 [[4.70103372e-04]]

 [[1.42564062e-04]]

 [[1.38330357e-02]]

 [[4.85211573e-03]]

 [[2.31470057e-02]]

 [[2.96665735e-03]]

 [[3.48121890e-05]]

 [[1.73512819e-03]]

 [[1.79375622e-03]]

 [[1.95346930e-03]]

 [[1.64968592e-03]]

 [[1.35039829e-02]]

 [[3.67003955e-03]]

 [[3.18639604e-02]]

 [[3.16947891e-02]]

 [[1.51876035e-02]]

 [[5.41110781e-03]]

 [[3.10155717e-03]]

 [[2.96113738e-04]]

 [[3.22386620e-03]]

 [[1.89496513e-02]]

 [[6.32237671e-03]]

 [[6.03993960e-04]]

 [[2.63623774e-02]]

 [[3.12488394e-02]]

 [[3.17257845e-02]]

 [[7.29348488e-03]]

 [[2.95023827e-03]]

 [[4.58307154e-04]]

 [[8.59358135e-04]]

 [[4.35307197e-05]]

 [[6.65577074e-04]]

 [[3.18508542e-02]]

 [[3.17829745e-02]]

 [[1.37132953e-02]]

 [[1.43062749e-02]]

 [[1.42899694e-03]]

 [[1.03447789e-03]]

 [[6.46770410e-04]]

 [[2.08064925e-03]]

 [[2.40118761e-04]]]","[[0.49221447]
 [0.49445114]
 [0.46423761]
 [0.61829148]
 [0.45884996]
 [0.61465076]
 [0.51680229]
 [0.20107409]
 [0.46364946]
 [0.48381642]
 [0.49445069]
 [0.49121567]
 [0.47614462]
 [0.48568529]
 [0.49693463]
 [0.4954926 ]
 [0.46394156]
 [0.46222799]
 [0.52782265]
 [0.47328142]
 [0.49448188]
 [0.48719436]
 [0.48686117]
 [0.48530015]
 [0.48795656]
 [0.46248965]
 [0.46440433]
 [0.61829921]
 [0.60938086]
 [0.47131197]
 [0.46260182]
 [0.47128698]
 [0.49793557]
 [0.50070197]
 [0.4976854 ]
 [0.46315967]
 [0.03783562]
 [0.55179337]
 [0.59829975]
 [0.61387155]
 [0.36230676]
 [0.4732258 ]
 [0.49693212]
 [0.49339604]
 [0.4945705 ]
 [0.4991015 ]
 [0.61660248]
 [0.61599626]
 [0.46363258]
 [0.46609496]
 [0.48970042]
 [0.49202761]
 [0.49543655]
 [0.48383277]
 [0.49647294]]",55.0,55.0,"[0.01808219178082192, 0.01808219178082192, 0.01808219178082192, 0.01808219178082192, 0.01808219178082192, 0.01863013698630137, 0.01808219178082192, 0.01808219178082192, 0.01808219178082192, 0.01808219178082192, 0.01863013698630137, 0.01808219178082192, 0.01808219178082192, 0.01808219178082192, 0.01808219178082192, 0.01808219178082192, 0.01863013698630137, 0.01808219178082192, 0.01808219178082192, 0.01808219178082192, 0.01808219178082192, 0.01863013698630137, 0.01808219178082192, 0.01808219178082192, 0.01808219178082192, 0.01808219178082192, 0.01808219178082192, 0.01863013698630137, 0.01808219178082192, 0.01808219178082192, 0.01808219178082192, 0.01808219178082192, 0.01863013698630137, 0.01808219178082192, 0.01808219178082192, 0.01808219178082192, 0.01808219178082192, 0.01808219178082192, 0.01863013698630137, 0.01808219178082192, 0.01808219178082192, 0.01808219178082192, 0.01808219178082192, 0.01863013698630137, 0.01808219178082192, 0.01808219178082192, 0.01808219178082192, 0.01808219178082192, 0.01808219178082192, 0.01863013698630137, 0.01808219178082192, 0.01808219178082192, 0.01808219178082192, 0.01808219178082192, 0.01863013698630137]","[0.01757856 0.0659878  0.00512939 0.00146266 0.00210626 0.00127442
 0.00164358 0.00118271 0.00488638 0.01044494 0.06600808 0.01597652
 0.00775935 0.0117146  0.02627588 0.03357823 0.00196201 0.003301
 0.00165777 0.00713311 0.05989277 0.01288265 0.01151873 0.01077034
 0.01292729 0.00193397 0.00514692 0.00144377 0.00110057 0.00182214
 0.00303626 0.00693386 0.07695232 0.188608   0.0016875  0.00270852
 0.00215548 0.00162602 0.00092813 0.00155399 0.00040627 0.00751423
 0.02731929 0.01977017 0.05232804 0.09685659 0.00128661 0.00153433
 0.00189624 0.00194124 0.01404835 0.01778512 0.02294208 0.01057673
 0.03110226]"
